r1;f1;f101;Рыцарь -> Боевой класс
r70;f158,f23;f203;Угроза нежити + Чёрный амулет -> Путь стихийной магии
r71;f158,f24;f204;Угроза нежити + Священный щит -> Путь силы артефактов
r72;f158,f25;f205;Угроза нежити + Кольцо власти -> Путь разрушительных артефактов
r73;f159,f21;f206;Угроза драконов + Магический меч -> Путь лечения
r74;f159,f22;f207;Угроза драконов + Древний посох -> Путь пробуждения
r75;f159,f23;f208;Угроза драконов + Чёрный амулет -> Путь изучения
r76;f159,f24;f209;Угроза драконов + Священный щит -> Путь сражения
r77;f159,f25;f210;Угроза драконов + Кольцо власти -> Путь защиты союзников
r78;f160,f21;f211;Угроза орков + Магический меч -> Путь нападения врагов
r79;f160,f22;f212;Угроза орков + Древний посох -> Путь защиты цивилизации
r80;f160,f23;f213;Угроза орков + Чёрный амулет -> Путь магической энергии
r81;f160,f24;f214;Угроза орков + Священный щит -> Путь духовного развития
r82;f160,f25;f215;Угроза орков + Кольцо власти -> Путь тьмы
r83;f161,f21;f216;Угроза тёмных магов + Магический меч -> Путь света и тьмы
r84;f161,f22;f217;Угроза тёмных магов + Древний посох -> Путь стихийного контроля
r85;f161,f23;f218;Угроза тёмных магов + Чёрный амулет -> Путь алхимии
r86;f161,f24;f219;Угроза тёмных магов + Священный щит -> Путь магического оружия
r87;f161,f25;f220;Угроза тёмных магов + Кольцо власти -> Путь древних ритуалов
r88;f162,f21;f221;Угроза проклятий + Магический меч -> Путь заклинаний
r89;f162,f22;f222;Угроза проклятий + Древний посох -> Путь обрядов
r90;f162,f23;f223;Угроза проклятий + Чёрный амулет -> Путь магических артефактов
r91;f162,f24;f224;Угроза проклятий + Священный щит -> Путь защиты городов
r92;f162,f25;f225;Угроза проклятий + Кольцо власти -> Путь разрушения врагов
r93;f163,f21;f226;Угроза древних существ + Магический меч -> Путь защиты королевства
r94;f163,f22;f227;Угроза древних существ + Древний посох -> Путь нападения на врагов
r95;f163,f23;f228;Угроза древних существ + Чёрный амулет -> Путь стратегического влияния
r96;f163,f24;f229;Угроза древних существ + Священный щит -> Путь дипломатии
r97;f163,f25;f230;Угроза древних существ + Кольцо власти -> Путь БОГА
r98;f164,f21;f181;Угроза хаоса + Магический меч -> Путь защиты
r99;f164,f22;f182;Угроза хаоса + Древний посох -> Путь атаки
r100;f164,f23;f183;Угроза хаоса + Чёрный амулет -> Путь исцеления
r101;f164,f24;f184;Угроза хаоса + Священный щит -> Путь магии
r102;f164,f25;f185;Угроза хаоса + Кольцо власти -> Путь боевых искусств
r103;f165,f21;f186;Угроза разрушения + Магический меч -> Путь разведки
r104;f165,f22;f187;Угроза разрушения + Древний посох -> Путь защиты артефактов
r105;f165,f23;f188;Угроза разрушения + Чёрный амулет -> Путь разрушения
r106;f165,f24;f189;Угроза разрушения + Священный щит -> Путь нейтрализации угроз
r107;f165,f25;f190;Угроза разрушения + Кольцо власти -> Путь союзов
r108;f166,f21;f191;Угроза тьмы + Магический меч -> Путь контрмагии
r109;f166,f22;f192;Угроза тьмы + Древний посох -> Путь ловушек
r110;f166,f23;f193;Угроза тьмы + Чёрный амулет -> Путь секретных знаний
r111;f166,f24;f194;Угроза тьмы + Священный щит -> Путь исследования
r112;f166,f25;f195;Угроза тьмы + Кольцо власти -> Путь древних тайн
r113;f167,f21;f196;Угроза лесов + Магический меч -> Путь защиты леса
r114;f167,f22;f197;Угроза лесов + Древний посох -> Путь защиты гор
r115;f167,f23;f198;Угроза лесов + Чёрный амулет -> Путь защиты равнин
r116;f167,f24;f199;Угроза лесов + Священный щит -> Путь защиты болот
r117;f167,f25;f200;Угроза лесов + Кольцо власти -> Путь магической защиты
r118;f168,f21;f201;Угроза гор + Магический меч -> Путь тёмной магии
r119;f168,f22;f202;Угроза гор + Древний посох -> Путь света
r120;f168,f23;f203;Угроза гор + Чёрный амулет -> Путь стихийной магии
r121;f168,f24;f204;Угроза гор + Священный щит -> Путь силы артефактов
r122;f168,f25;f205;Угроза гор + Кольцо власти -> Путь разрушительных артефактов
r123;f169,f21;f206;Угроза равнин + Магический меч -> Путь лечения
r124;f169,f22;f207;Угроза равнин + Древний посох -> Путь пробуждения
r125;f169,f23;f208;Угроза равнин + Чёрный амулет -> Путь изучения
r126;f169,f24;f209;Угроза равнин + Священный щит -> Путь сражения
r127;f169,f25;f210;Угроза равнин + Кольцо власти -> Путь защиты союзников
r128;f170,f21;f211;Угроза болот + Магический меч -> Путь нападения врагов
r129;f170,f22;f212;Угроза болот + Древний посох -> Путь защиты цивилизации
r130;f170,f23;f213;Угроза болот + Чёрный амулет -> Путь магической энергии

r131;f170,f24;f214;Угроза болот + Священный щит -> Путь духовного развития
r132;f170,f25;f215;Угроза болот + Кольцо власти -> Путь тьмы
r133;f171,f21;f216;Угроза стихий + Магический меч -> Путь света и тьмы
r134;f171,f22;f217;Угроза стихий + Древний посох -> Путь стихийного контроля
r135;f171,f23;f218;Угроза стихий + Чёрный амулет -> Путь алхимии
r136;f171,f24;f219;Угроза стихий + Священный щит -> Путь магического оружия
r137;f171,f25;f220;Угроза стихий + Кольцо власти -> Путь древних ритуалов
r138;f172,f21;f221;Угроза артефактов + Магический меч -> Путь заклинаний
r139;f172,f22;f222;Угроза артефактов + Древний посох -> Путь обрядов
r140;f172,f23;f223;Угроза артефактов + Чёрный амулет -> Путь магических артефактов
r141;f172,f24;f224;Угроза артефактов + Священный щит -> Путь защиты городов
r142;f172,f25;f225;Угроза артефактов + Кольцо власти -> Путь разрушения врагов
r143;f173,f21;f226;Угроза ритуалов + Магический меч -> Путь защиты королевства
r144;f173,f22;f227;Угроза ритуалов + Древний посох -> Путь нападения на врагов
r145;f173,f23;f228;Угроза ритуалов + Чёрный амулет -> Путь стратегического влияния
r146;f173,f24;f229;Угроза ритуалов + Священный щит -> Путь дипломатии
r147;f173,f25;f230;Угроза ритуалов + Кольцо власти -> Путь БОГА
r148;f174,f21;f181;Угроза союзников + Магический меч -> Путь защиты
r149;f174,f22;f182;Угроза союзников + Древний посох -> Путь атаки
r150;f174,f23;f183;Угроза союзников + Чёрный амулет -> Путь исцеления
r151;f174,f24;f184;Угроза союзников + Священный щит -> Путь магии
r152;f174,f25;f185;Угроза союзников + Кольцо власти -> Путь боевых искусств
r153;f175,f21;f186;Угроза врагов + Магический меч -> Путь разведки
r154;f175,f22;f187;Угроза врагов + Древний посох -> Путь защиты артефактов
r155;f175,f23;f188;Угроза врагов + Чёрный амулет -> Путь разрушения
r156;f175,f24;f189;Угроза врагов + Священный щит -> Путь нейтрализации угроз
r157;f175,f25;f190;Угроза врагов + Кольцо власти -> Путь союзов
r158;f176,f21;f191;Угроза магических защит + Магический меч -> Путь контрмагии
r159;f176,f22;f192;Угроза магических защит + Древний посох -> Путь ловушек
r160;f176,f23;f193;Угроза магических защит + Чёрный амулет -> Путь секретных знаний
r161;f176,f24;f194;Угроза магических защит + Священный щит -> Путь исследования
r162;f176,f25;f195;Угроза магических защит + Кольцо власти -> Путь древних тайн
r163;f177,f21;f196;Угроза разрушения зданий + Магический меч -> Путь защиты леса
r164;f177,f22;f197;Угроза разрушения зданий + Древний посох -> Путь защиты гор
r165;f177,f23;f198;Угроза разрушения зданий + Чёрный амулет -> Путь защиты равнин
r166;f177,f24;f199;Угроза разрушения зданий + Священный щит -> Путь защиты болот
r167;f177,f25;f200;Угроза разрушения зданий + Кольцо власти -> Путь магической защиты
r168;f178,f21;f201;Угроза ослабления магии + Магический меч -> Путь тёмной магии
r169;f178,f22;f202;Угроза ослабления магии + Древний посох -> Путь света
r170;f178,f23;f203;Угроза ослабления магии + Чёрный амулет -> Путь стихийной магии
r171;f178,f24;f204;Угроза ослабления магии + Священный щит -> Путь силы артефактов
r172;f178,f25;f205;Угроза ослабления магии + Кольцо власти -> Путь разрушительных артефактов
r173;f179,f21;f206;Угроза невидимая + Магический меч -> Путь лечения
r174;f179,f22;f207;Угроза невидимая + Древний посох -> Путь пробуждения
r175;f179,f23;f208;Угроза невидимая + Чёрный амулет -> Путь изучения
r176;f179,f24;f209;Угроза невидимая + Священный щит -> Путь сражения
r177;f179,f25;f210;Угроза невидимая + Кольцо власти -> Путь защиты союзников
r178;f180,f21;f211;Угроза смертельная + Магический меч -> Путь нападения врагов
r179;f180,f22;f212;Угроза смертельная + Древний посох -> Путь защиты цивилизации
r180;f180,f23;f213;Угроза смертельная + Чёрный амулет -> Путь магической энергии
r181;f180,f24;f214;Угроза смертельная + Священный щит -> Путь духовного развития
r182;f180,f25;f215;Угроза смертельная + Кольцо власти -> Путь тьмы
r183;f154,f21;f216;Угроза магическая + Магический меч -> Путь света и тьмы
r184;f154,f22;f217;Угроза магическая + Древний посох -> Путь стихийного контроля
r185;f154,f23;f218;Угроза магическая + Чёрный амулет -> Путь алхимии
r186;f154,f24;f219;Угроза магическая + Священный щит -> Путь магического оружия
r187;f154,f25;f220;Угроза магическая + Кольцо власти -> Путь древних ритуалов
r188;f155,f21;f221;Угроза воинская + Магический меч -> Путь заклинаний
r189;f155,f22;f222;Угроза воинская + Древний посох -> Путь обрядов
r190;f155,f23;f223;Угроза воинская + Чёрный амулет -> Путь магических артефактов
r191;f155,f24;f224;Угроза воинская + Священный щит -> Путь защиты городов
r192;f155,f25;f225;Угроза воинская + Кольцо власти -> Путь разрушения врагов
r193;f156,f21;f226;Угроза духовная + Магический меч -> Путь защиты королевства
r194;f156,f22;f227;Угроза духовная + Древний посох -> Путь нападения на врагов
r195;f156,f23;f228;Угроза духовная + Чёрный амулет -> Путь стратегического влияния
r196;f156,f24;f229;Угроза духовная + Священный щит -> Путь дипломатии
r197;f156,f25;f230;Угроза духовная + Кольцо власти -> Путь БОГА
r198;f157,f21;f181;Угроза природная + Магический меч -> Путь защиты
r199;f157,f22;f182;Угроза природная + Древний посох -> Путь атаки
r200;f157,f23;f183;Угроза природная + Чёрный амулет -> Путь исцеления


r201;f181,f154;f300;Путь защиты + Угроза магическая -> Финальный квест — защита королевства
r202;f182,f155;f301;Путь атаки + Угроза воинская -> Финальный квест — изгнание тьмы
r203;f183,f156;f302;Путь исцеления + Угроза духовная -> Финальный квест — победа над драконом
r204;f184,f157;f303;Путь магии + Угроза природная -> Финальный квест — восстановление храма
r205;f185,f158;f304;Путь боевых искусств + Угроза нежити -> Финальный квест — защита артефактов
r206;f186,f159;f305;Путь разведки + Угроза драконов -> Финальный квест — спасение союзников
r207;f187,f160;f306;Путь защиты артефактов + Угроза орков -> Финальный квест — остановка нежити
r208;f188,f161;f307;Путь разрушения + Угроза тёмных магов -> Финальный квест — раскрытие пророчества
r209;f189,f162;f308;Путь нейтрализации угроз + Угроза проклятий -> Финальный квест — нейтрализация угрозы
r210;f190,f163;f309;Путь союзов + Угроза древних существ -> Финальный квест — защита магической башни
r211;f191,f164;f310;Путь контрмагии + Угроза хаоса -> Финальный квест — победа над древним злом
r212;f192,f165;f300;Путь ловушек + Угроза разрушения -> Финальный квест — защита королевства
r213;f193,f166;f301;Путь секретных знаний + Угроза тьмы -> Финальный квест — изгнание тьмы
r214;f194,f167;f302;Путь исследования + Угроза лесов -> Финальный квест — победа над драконом
r215;f195,f168;f303;Путь древних тайн + Угроза гор -> Финальный квест — восстановление храма
r216;f196,f169;f304;Путь защиты леса + Угроза равнин -> Финальный квест — защита артефактов
r217;f197,f170;f305;Путь защиты гор + Угроза болот -> Финальный квест — спасение союзников
r218;f198,f171;f306;Путь защиты равнин + Угроза стихий -> Финальный квест — остановка нежити
r219;f199,f172;f307;Путь защиты болот + Угроза артефактов -> Финальный квест — раскрытие пророчества
r220;f200,f173;f308;Путь магической защиты + Угроза ритуалов -> Финальный квест — нейтрализация угрозы
r221;f201,f174;f309;Путь тёмной магии + Угроза союзников -> Финальный квест — защита магической башни
r222;f202,f175;f310;Путь света + Угроза врагов -> Финальный квест — победа над древним злом
r223;f203,f176;f300;Путь стихийной магии + Угроза магических защит -> Финальный квест — защита королевства
r224;f204,f177;f301;Путь силы артефактов + Угроза разрушения зданий -> Финальный квест — изгнание тьмы
r225;f205,f178;f302;Путь разрушительных артефактов + Угроза ослабления магии -> Финальный квест — победа над драконом
r226;f206,f179;f303;Путь лечения + Угроза невидимая -> Финальный квест — восстановление храма
r227;f207,f180;f304;Путь пробуждения + Угроза смертельная -> Финальный квест — защита артефактов
r228;f208,f181;f305;Путь изучения + Угроза магическая -> Финальный квест — спасение союзников
r229;f209,f182;f306;Путь сражения + Угроза воинская -> Финальный квест — остановка нежити
r230;f210,f183;f307;Путь защиты союзников + Угроза духовная -> Финальный квест — раскрытие пророчества
r231;f211,f184;f308;Путь нападения врагов + Угроза природная -> Финальный квест — нейтрализация угрозы
r232;f212,f185;f309;Путь защиты цивилизации + Угроза нежити -> Финальный квест — защита магической башни
r233;f213,f186;f310;Путь магической энергии + Угроза драконов -> Финальный квест — победа над древним злом
r234;f214,f187;f300;Путь духовного развития + Угроза орков -> Финальный квест — защита королевства
r235;f215,f188;f301;Путь тьмы + Угроза тёмных магов -> Финальный квест — изгнание тьмы
r236;f216,f189;f302;Путь света и тьмы + Угроза проклятий -> Финальный квест — победа над драконом
r237;f217,f190;f303;Путь стихийного контроля + Угроза древних существ -> Финальный квест — восстановление храма
r238;f218,f191;f304;Путь алхимии + Угроза хаоса -> Финальный квест — защита артефактов
r239;f219,f192;f305;Путь магического оружия + Угроза разрушения -> Финальный квест — спасение союзников
r240;f220,f193;f306;Путь древних ритуалов + Угроза тьмы -> Финальный квест — остановка нежити
r241;f221,f194;f307;Путь заклинаний + Угроза лесов -> Финальный квест — раскрытие пророчества
r242;f222,f195;f308;Путь обрядов + Угроза гор -> Финальный квест — нейтрализация угрозы
r243;f223,f196;f309;Путь магических артефактов + Угроза равнин -> Финальный квест — защита магической башни
r244;f224,f197;f310;Путь защиты городов + Угроза болот -> Финальный квест — победа над древним злом
r245;f225,f198;f300;Путь разрушения врагов + Угроза стихий -> Финальный квест — защита королевства
r246;f226,f199;f301;Путь защиты королевства + Угроза артефактов -> Финальный квест — изгнание тьмы
r247;f227,f200;f302;Путь нападения на врагов + Угроза ритуалов -> Финальный квест — победа над драконом
r248;f228,f201;f303;Путь стратегического влияния + Угроза союзников -> Финальный квест — восстановление храма
r249;f229,f202;f304;Путь дипломатии + Угроза врагов -> Финальный квест — защита артефактов
r250;f230,f203;f305;Путь БОГА + Угроза магических защит -> Финальный квест — спасение союзников
r251;f181,f204;f306;Путь защиты + Путь силы артефактов -> Финальный квест — остановка нежити
r252;f182,f205;f307;Путь атаки + Путь разрушительных артефактов -> Финальный квест — раскрытие пророчества
r253;f183,f206;f308;Путь исцеления + Путь лечения -> Финальный квест — нейтрализация угрозы
r254;f184,f207;f309;Путь магии + Путь пробуждения -> Финальный квест — защита магической башни
r255;f185,f208;f310;Путь боевых искусств + Путь изучения -> Финальный квест — победа над древним злом
r256;f186,f209;f300;Путь разведки + Путь сражения -> Финальный квест — защита королевства
r257;f187,f210;f301;Путь защиты артефактов + Путь защиты союзников -> Финальный квест — изгнание тьмы
r258;f188,f211;f302;Путь разрушения + Путь нападения врагов -> Финальный квест — победа над драконом
r259;f189,f212;f303;Путь нейтрализации угроз + Путь защиты цивилизации -> Финальный квест — восстановление храма
r260;f190,f213;f304;Путь союзов + Путь магической энергии -> Финальный квест — защита артефактов
r261;f191,f214;f305;Путь контрмагии + Путь духовного развития -> Финальный квест — спасение союзников
r262;f192,f215;f306;Путь ловушек + Путь тьмы -> Финальный квест — остановка нежити
r263;f193,f216;f307;Путь секретных знаний + Путь света и тьмы -> Финальный квест — раскрытие пророчества
r264;f194,f217;f308;Путь исследования + Путь стихийного контроля -> Финальный квест — нейтрализация угрозы
r265;f195,f218;f309;Путь древних тайн + Путь алхимии -> Финальный квест — защита магической башни
r266;f196,f219;f310;Путь защиты леса + Путь магического оружия -> Финальный квест — победа над древним злом
r267;f197,f220;f300;Путь защиты гор + Путь древних ритуалов -> Финальный квест — защита королевства
r268;f198,f221;f301;Путь защиты равнин + Путь заклинаний -> Финальный квест — изгнание тьмы
r269;f199,f222;f302;Путь защиты болот + Путь обрядов -> Финальный квест — победа над драконом
r270;f200,f223;f303;Путь магической защиты + Путь магических артефактов -> Финальный квест — восстановление храма
r271;f201,f224;f304;Путь тёмной магии + Путь защиты городов -> Финальный квест — защита артефактов
r272;f202,f225;f305;Путь света + Путь разрушения врагов -> Финальный квест — спасение союзников
r273;f203,f226;f306;Путь стихийной магии + Путь защиты королевства -> Финальный квест — остановка нежити
r274;f204,f227;f307;Путь силы артефактов + Путь нападения на врагов -> Финальный квест — раскрытие пророчества
r275;f205,f228;f308;Путь разрушительных артефактов + Путь стратегического влияния -> Финальный квест — нейтрализация угрозы
r276;f206,f229;f309;Путь лечения + Путь дипломатии -> Финальный квест — защита магической башни
r277;f207,f230;f310;Путь пробуждения + Путь БОГА -> Финальный квест — победа над древним злом
r278;f181,f185;f300;Путь защиты + Путь боевых искусств -> Финальный квест — защита королевства
r279;f182,f190;f301;Путь атаки + Путь союзов -> Финальный квест — изгнание тьмы
r280;f183,f195;f302;Путь исцеления + Путь древних тайн -> Финальный квест — победа над драконом
r281;f184,f200;f303;Путь магии + Путь магической защиты -> Финальный квест — восстановление храма
r282;f185,f205;f304;Путь боевых искусств + Путь разрушительных артефактов -> Финальный квест — защита артефактов
r283;f186,f210;f305;Путь разведки + Путь защиты союзников -> Финальный квест — спасение союзников
r284;f187,f215;f306;Путь защиты артефактов + Путь тьмы -> Финальный квест — остановка нежити
r285;f188,f220;f307;Путь разрушения + Путь древних ритуалов -> Финальный квест — раскрытие пророчества
r286;f189,f225;f308;Путь нейтрализации угроз + Путь разрушения врагов -> Финальный квест — нейтрализация угрозы
r287;f190,f230;f309;Путь союзов + Путь БОГА -> Финальный квест — защита магической башни
r288;f191,f181;f310;Путь контрмагии + Путь защиты -> Финальный квест — победа над древним злом
r289;f192,f182;f300;Путь ловушек + Путь атаки -> Финальный квест — защита королевства
r290;f193,f183;f301;Путь секретных знаний + Путь исцеления -> Финальный квест — изгнание тьмы
r291;f194,f184;f302;Путь исследования + Путь магии -> Финальный квест — победа над драконом
r292;f195,f185;f303;Путь древних тайн + Путь боевых искусств -> Финальный квест — восстановление храма
r293;f196,f186;f304;Путь защиты леса + Путь разведки -> Финальный квест — защита артефактов
r294;f197,f187;f305;Путь защиты гор + Путь защиты артефактов -> Финальный квест — спасение союзников
r295;f198,f188;f306;Путь защиты равнин + Путь разрушения -> Финальный квест — остановка нежити
r296;f199,f189;f307;Путь защиты болот + Путь нейтрализации угроз -> Финальный квест — раскрытие пророчества
r297;f200,f190;f308;Путь магической защиты + Путь союзов -> Финальный квест — нейтрализация угрозы
r298;f201,f191;f309;Путь тёмной магии + Путь контрмагии -> Финальный квест — защита магической башни
r299;f202,f192;f310;Путь света + Путь ловушек -> Финальный квест — победа над древним злом
r300;f203,f193;f300;Путь стихийной магии + Путь секретных знаний -> Финальный квест — защита королевства

