r1;f1;f41;Рыцарь -> Боевой класс;
r90;f53,f90;f304;Избранник пророчества + Последний шанс -> Великий квест: исполнение пророчества;

r91;f48,f90;f301;Охотник на чудовищ + Последний шанс -> Великий квест: уничтожение дракона;
r92;f47,f90;f303;Проводник магии + Последний шанс -> Великий квест: восстановление магического баланса;
r93;f49,f90;f305;Хранитель веры + Последний шанс -> Великий квест: спасение древних земель;
r94;f50,f90;f308;Разрушитель орд + Последний шанс -> Великий квест: запечатывание тьмы;
r95;f82,f90;f307;Путь мудрости + Последний шанс -> Великий квест: объединение королевств;

r96;f83,f90;f300;Путь веры + Последний шанс -> Великий квест: защита королевства;
r97;f84,f90;f301;Путь ярости + Последний шанс -> Великий квест: уничтожение дракона;
r98;f85,f90;f308;Путь тени + Последний шанс -> Великий квест: запечатывание тьмы;
r99;f77,f90;f306;Печать стихий + Последний шанс -> Великий квест: предотвращение катастрофы;
r100;f80,f90;f309;Запретная магия + Последний шанс -> Великий квест: последний рубеж человечества;

r101;f66,f90;f300;Штурм крепости + Последний шанс -> Великий квест: защита королевства;
r102;f67,f90;f303;Очищение храма + Последний шанс -> Великий квест: восстановление магического баланса;
r103;f68,f90;f305;Исследование катакомб + Последний шанс -> Великий квест: спасение древних земель;
r104;f69,f90;f309;Защита башни + Последний шанс -> Великий квест: последний рубеж человечества;
r105;f70,f90;f307;Восстановление моста + Последний шанс -> Великий квест: объединение королевств;

r106;f56,f90;f300;Северный поход + Последний шанс -> Великий квест: защита королевства;
r107;f57,f90;f305;Лесная кампания + Последний шанс -> Великий квест: спасение древних земель;
r108;f58,f90;f300;Поход равнин + Последний шанс -> Великий квест: защита королевства;
r109;f59,f90;f300;Горная экспедиция + Последний шанс -> Великий квест: защита королевства;
r110;f60,f90;f300;Болотная миссия + Последний шанс -> Великий квест: защита королевства;

r111;f41,f90;f301;Боевой класс + Последний шанс -> Великий квест: уничтожение дракона;
r112;f42,f90;f303;Магический класс + Последний шанс -> Великий квест: восстановление магического баланса;
r113;f43,f90;f305;Духовный путь + Последний шанс -> Великий квест: спасение древних земель;
r114;f44,f90;f301;Дикий путь + Последний шанс -> Великий квест: уничтожение дракона;
r115;f45,f90;f308;Теневой путь + Последний шанс -> Великий квест: запечатывание тьмы;

r116;f51,f90;f307;Связь с королевством + Последний шанс -> Великий квест: объединение королевств;
r117;f52,f90;f309;Изгнанник земель + Последний шанс -> Великий квест: последний рубеж человечества;
r118;f54,f90;f308;Проклятый герой + Последний шанс -> Великий квест: запечатывание тьмы;
r119;f55,f90;f304;Благословлённый герой + Последний шанс -> Великий квест: исполнение пророчества;
r120;f90;f309;Последний шанс -> Великий квест: последний рубеж человечества;
